age,gender,height_cm,weight_kg,games_type,total_olympics_attended,country_total_medals,country_first_participation,country_best_rank
20,Male,177.4,76.6,Winter,1,196,1896,18
37,Male,153.5,59.6,Summer,4,648,1896,4
32,Male,180.8,62.0,Winter,4,9,1952,60
21,Female,173.5,70.0,Winter,1,109,1956,20
20,Female,190.1,60.0,Summer,4,648,1896,4
25,Female,158.4,65.8,Winter,1,12,1956,58
22,Female,167.8,60.2,Summer,2,35,1952,40
34,Female,199.0,129.5,Summer,4,12,1956,58
33,Male,165.6,58.6,Winter,1,896,1896,2
23,Female,172.9,55.3,Summer,2,554,1896,4
32,Female,156.5,44.1,Summer,4,75,1996,33
27,Male,174.7,96.2,Winter,5,14,1948,58
27,Female,189.0,74.3,Summer,1,380,1900,7
35,Male,209.2,102.7,Summer,4,2638,1896,1
27,Female,185.6,87.4,Summer,2,116,1896,10
17,Female,179.1,68.7,Summer,3,226,1900,8
24,Female,183.3,53.3,Winter,4,554,1896,4
42,Female,168.1,93.4,Winter,2,266,1948,5
18,Male,176.3,72.7,Summer,4,158,1900,20
24,Female,180.5,118.0,Summer,3,90,1904,30
19,Female,170.5,64.5,Summer,3,116,1896,10
25,Male,174.1,68.3,Winter,4,753,1900,4
26,Female,166.2,46.2,Summer,5,132,1996,22
21,Male,179.0,74.3,Summer,5,392,1900,2
42,Female,182.4,91.0,Summer,1,94,1948,22
28,Female,190.8,79.6,Winter,3,497,1912,3
17,Female,172.8,97.6,Winter,2,203,1896,12
18,Male,192.8,75.3,Summer,5,196,1896,18
42,Female,185.0,84.1,Winter,1,77,1920,30
33,Female,161.7,78.0,Winter,5,94,1948,22
36,Male,204.1,102.2,Summer,2,152,1920,20
40,Female,169.4,62.6,Summer,1,648,1896,4
39,Female,180.5,82.9,Winter,5,77,1920,30
26,Male,178.8,93.2,Winter,3,896,1896,2
19,Male,181.3,61.9,Summer,3,554,1896,4
32,Male,179.6,97.1,Summer,1,1122,1952,1
39,Female,186.1,59.9,Summer,4,381,1900,6
36,Male,178.5,70.1,Summer,4,94,1948,22
15,Female,169.6,57.1,Winter,3,29,1912,50
41,Female,173.0,75.6,Summer,2,35,1900,48
38,Female,175.6,63.6,Winter,4,170,1900,18
33,Male,204.2,66.2,Summer,4,14,1948,58
15,Female,169.5,70.8,Summer,3,844,1896,3
30,Male,171.4,81.6,Winter,1,381,1900,6
23,Female,195.4,80.2,Summer,5,116,1908,25
40,Female,174.2,76.1,Winter,3,648,1896,4
36,Female,163.8,48.4,Winter,5,636,1932,1
34,Female,171.4,70.8,Winter,5,170,1900,18
32,Female,165.3,88.5,Summer,5,94,1948,22
27,Male,195.3,92.7,Summer,3,5,1948,62
17,Male,173.8,82.0,Summer,3,381,1900,6
39,Female,173.8,74.4,Winter,4,22,1948,45
35,Female,197.3,89.0,Summer,5,392,1900,2
36,Male,157.9,51.3,Summer,4,35,1952,40
19,Female,182.1,71.2,Winter,2,54,1964,35
38,Male,199.0,65.5,Summer,2,77,1920,30
28,Male,175.3,46.8,Summer,2,536,1896,5
37,Female,185.9,65.0,Winter,2,22,1948,45
34,Female,180.2,92.9,Winter,3,94,1948,22
15,Male,185.5,78.7,Summer,1,226,1900,8
34,Female,171.4,71.8,Winter,5,9,1952,60
24,Male,173.6,82.1,Winter,2,152,1920,20
16,Male,182.2,94.9,Summer,1,77,1920,30
33,Male,172.4,85.3,Winter,5,1122,1952,1
34,Male,176.5,104.0,Winter,3,224,1896,15
34,Male,202.2,75.8,Summer,2,2638,1896,1
42,Male,179.8,64.9,Summer,1,380,1900,7
42,Female,187.8,72.4,Summer,5,116,1896,10
30,Female,164.8,63.9,Summer,1,90,1904,30
22,Male,185.0,76.1,Winter,1,536,1896,5
28,Male,193.3,73.2,Summer,5,158,1900,20
29,Male,184.2,58.6,Winter,4,896,1896,2
20,Female,175.3,64.6,Winter,3,22,1948,45
18,Female,172.2,62.0,Winter,4,99,1908,22
21,Female,190.0,73.4,Summer,1,60,1948,34
22,Female,162.0,115.9,Summer,4,30,1996,44
25,Male,180.0,57.5,Winter,1,753,1900,4
36,Female,184.7,58.6,Summer,4,99,1908,22
33,Female,182.0,74.9,Summer,4,54,1964,35
16,Female,192.8,66.0,Winter,2,196,1896,18
23,Male,171.0,68.5,Summer,1,497,1912,3
41,Female,166.9,86.3,Winter,3,24,1932,48
20,Male,173.8,88.4,Winter,2,753,1900,4
39,Male,169.0,58.9,Winter,3,99,1908,22
37,Female,164.4,73.1,Winter,1,226,1900,8
33,Male,166.2,84.7,Summer,1,29,1912,50
21,Male,170.2,63.8,Winter,1,12,1956,58
36,Female,174.8,60.0,Winter,5,12,1956,58
41,Male,172.4,103.5,Winter,5,24,1932,48
33,Male,185.6,76.3,Summer,5,381,1900,6
24,Male,186.9,61.4,Summer,5,196,1896,18
19,Female,167.2,53.4,Winter,4,72,1924,35
34,Male,186.2,85.5,Winter,3,77,1920,30
15,Female,188.6,116.0,Winter,4,99,1908,22
19,Female,173.3,81.4,Summer,1,21,1964,52
24,Female,181.4,62.7,Winter,3,99,1908,22
41,Male,189.8,89.5,Winter,3,109,1956,20
27,Female,170.7,64.8,Summer,1,32,1952,40
19,Male,176.5,65.4,Winter,5,381,1900,6
29,Female,190.7,86.1,Winter,1,554,1896,4
36,Male,170.5,58.7,Summer,2,648,1896,4
33,Female,160.4,85.2,Summer,1,896,1896,2
40,Male,183.2,63.9,Summer,4,35,1900,48
28,Male,161.3,69.3,Summer,3,116,1908,25
33,Male,164.3,61.5,Summer,1,116,1896,10
29,Female,145.0,57.4,Summer,5,392,1900,2
28,Male,182.7,58.4,Summer,2,18,1996,50
22,Female,184.8,73.2,Summer,1,648,1896,4
31,Female,174.9,48.9,Summer,1,381,1900,6
15,Female,172.6,54.8,Summer,3,459,1908,3
22,Male,176.3,80.9,Summer,3,2638,1896,1
20,Male,164.3,49.5,Summer,2,381,1900,6
20,Male,166.1,76.9,Winter,3,158,1900,20
25,Female,185.2,80.2,Winter,1,28,1912,45
19,Female,177.0,97.2,Winter,3,35,1952,40
22,Female,183.0,73.4,Summer,4,14,1948,58
24,Female,159.9,79.9,Winter,1,54,1964,35
35,Male,174.2,82.0,Winter,5,844,1896,3
21,Male,179.3,70.5,Summer,5,260,1896,10
33,Male,193.3,99.5,Summer,3,896,1896,2
15,Male,203.8,67.3,Summer,4,21,1964,52
36,Female,172.9,60.3,Winter,4,636,1932,1
36,Male,164.3,68.8,Winter,3,109,1956,20
35,Male,171.7,54.4,Winter,5,636,1932,1
27,Male,199.4,90.3,Summer,1,203,1896,12
18,Male,196.3,59.1,Summer,5,648,1896,4
18,Female,173.1,70.8,Winter,1,459,1908,3
15,Male,189.3,96.7,Winter,5,554,1896,4
15,Female,173.3,88.3,Summer,4,99,1908,22
